layer_i,proj_i,dim_i,layer_j,proj_j,dim_j,intersect_dim,mean_cos2
3,k_proj,3075,16,v_proj,3072,2051,0.7507219416920732
3,k_proj,3075,17,k_proj,3072,2051,0.7523026232215447
3,k_proj,3075,17,v_proj,3072,2051,0.7501749872967479
3,k_proj,3075,18,k_proj,3072,2051,0.7522991298272358
3,k_proj,3075,18,v_proj,3072,2051,0.7511355913363821
3,k_proj,3075,19,k_proj,3072,2051,0.7521512957317074
3,k_proj,3075,19,v_proj,3072,2051,0.7521841653963415
3,k_proj,3075,20,k_proj,3072,2051,0.752338271722561
3,k_proj,3075,20,v_proj,3072,2051,0.7517921112804878
3,k_proj,3075,21,k_proj,3072,2051,0.7519223196138212
3,k_proj,3075,21,v_proj,3072,2051,0.7508293635670732
3,k_proj,3075,22,k_proj,3072,2051,0.7519208904979675
3,k_proj,3075,22,v_proj,3072,2051,0.7507695788871951
3,k_proj,3075,23,k_proj,3072,2051,0.7516129954268292
3,k_proj,3075,23,v_proj,3072,2051,0.7509089176829268
3,k_proj,3075,24,k_proj,3072,2051,0.751404662093496
3,k_proj,3075,24,v_proj,3072,2051,0.7513516260162602
3,k_proj,3075,25,k_proj,3072,2051,0.7512309451219512
3,k_proj,3075,25,v_proj,3072,2051,0.7506767657520326
3,k_proj,3075,26,k_proj,3072,2051,0.7512271341463415
3,k_proj,3075,26,v_proj,3072,2051,0.750366409425813
3,k_proj,3075,27,k_proj,3072,2051,0.751159012957317
3,k_proj,3075,27,v_proj,3072,2051,0.7510591336382114
3,k_proj,3075,28,k_proj,3072,2051,0.7514119664634147
3,k_proj,3075,28,v_proj,3072,2051,0.7503645833333333
3,k_proj,3075,29,k_proj,3072,2051,0.7508816056910569
3,k_proj,3075,29,v_proj,3072,2051,0.7501922954776423
3,k_proj,3075,30,k_proj,3072,2051,0.7508565961636179
3,k_proj,3075,30,v_proj,3072,2051,0.7504177782012195
3,k_proj,3075,31,k_proj,3072,2051,0.751088271722561
3,k_proj,3075,31,v_proj,3072,2051,0.7507155106707317
3,v_proj,3072,3,v_proj,3072,3072,0.9999996026357015
3,v_proj,3072,4,k_proj,3073,2049,0.7611756324768066
3,v_proj,3072,4,v_proj,3072,2048,0.7687163352966309
3,v_proj,3072,5,k_proj,3072,2048,0.7543123563130697
3,v_proj,3072,5,v_proj,3072,2048,0.757988452911377
